Address,Land,Road,Price,Bedroom,Bathroom,Face,Floors,district
LAGANKHEL,1197.87,20,8000000,3,3,North,3.0, LALITPUR
 IMADOL,1283.43,18,9500000,2,1,West,1.5, LALITPUR
 KALANKI,1882.37,16,12000000,6,5,North,2.5, KATHMANDU
GOTHATAR,898.4,13,12500000,4,2,East,2.0, KATHMANDU
GOKARNA,1369.0,15,13500000,4,2,East,2.0, KATHMANDU
 CHABAHIL,684.5,20,13500000,6,3,North,3.0, KATHMANDU
 SANAGAU,962.57,13,13500000,5,3,West,2.5, LALITPUR
THANKOT,1026.75,16,13500000,3,2,South,1.0,KATHMANDU
DHAPAKHEL HEIGHT,898.4,12,13500000,4,3,South,2.5, LALITPUR
NEAR SHREE NARAYAN SCHOOL,1625.68,13,14000000,2,1,North,1.0, LALITPUR
KHADKA TOLE,1026.75,20,14200000,5,2,North East,2.5, KATHMANDU
OM CHOWK,983.96,13,14500000,4,3,West,2.5, KATHMANDU
"NEAR BY SUSHANT POLY CLINIC', ' JYOTINAGAR', ' KAPAN",855.62,10,14500000,4,3,East,2.5, KATHMANDU
BALKOT,1369.0,13,14500000,5,3,West,2.5, BHAKTAPUR
CHANGU NARAYAN ROAD,4363.68,12,15000000,15,4,South East,3.5, BHAKTAPUR
 DANCHHI,1026.75,10,16000000,4,3,South East,2.5, KATHMANDU
HARISIDDHI,2481.31,13,16000000,2,1,East,1.0, LALITPUR
 RAMKOT,1369.0,16,16800000,5,2,West,2.5, KATHMANDU
BOUDHA,727.28,10,17000000,7,4,South East,3.5, KATHMANDU
 IMADOL,1026.75,13,17000000,6,3,North West,2.5, KATHMANDU
 BHAKTAPUR,1369.0,10,17000000,4,2,East,2.0, BHAKTAPUR
NEAR NEW DIAMOND ACADEMY,1369.0,10,17000000,8,4,East,2.5, KATHMANDU
 MADHEYPUR THIMI,941.18,13,17200000,5,3,North East,3.0, BHAKTAPUR
 IMADOL,1048.14,14,17500000,5,3,South,2.5, LALITPUR
NEAR HIM SHIKHAR SCHOOL,1197.87,13,17500000,6,4,South West,3.5, KATHMANDU
KHUMALTAR,2310.18,10,17500000,8,5,East,3.5, LALITPUR
MANDIKHATAR,877.01,20,17500000,4,2,West,2.5, KATHMANDU
PAIYATAR,1026.0,13,17500000,11,9,South East,3.0, KATHMANDU
LAMATAR,1197.87,13,17500000,2,3,South,2.5, LALITPUR
